City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,8.62,91,100,7.72,US,1680378076
1,kavaratti,10.5669,72.642,27.42,68,5,3.2,IN,1680378391
2,esperance,-33.8667,121.9,17.95,84,100,5.76,AU,1680377924
3,punta arenas,-53.15,-70.9167,12.06,54,20,11.32,CL,1680377875
4,ushuaia,-54.8,-68.3,8.81,61,0,3.09,AR,1680378077
5,new norfolk,-42.7826,147.0587,12.18,88,100,0.45,AU,1680378080
6,mar del plata,-38.0023,-57.5575,20.01,54,0,4.63,AR,1680378087
7,kaitangata,-46.2817,169.8464,12.74,92,68,3.4,NZ,1680378086
8,arraial do cabo,-22.9661,-42.0278,27.92,74,20,6.69,BR,1680378090
9,lorengau,-2.0226,147.2712,26.71,79,99,1.61,PG,1680378140
10,bluff,-46.6,168.3333,13.22,80,100,8.23,NZ,1680378086
11,banikoara,11.2985,2.4386,31.71,9,100,2.16,BJ,1680378392
12,hermanus,-34.4187,19.2345,17.11,83,0,3.96,ZA,1680378392
13,hilo,19.7297,-155.09,27.93,77,75,2.06,US,1680378033
14,tuktoyaktuk,69.4541,-133.0374,-22.0,64,0,5.66,CA,1680378136
15,butaritari,3.0707,172.7902,27.45,75,100,5.67,KI,1680378078
16,kaeo,-35.1,173.7833,18.51,96,100,0.84,NZ,1680378392
17,san alberto,7.7611,-73.3922,32.1,60,83,0.91,CO,1680378392
18,rikitea,-23.1203,-134.9692,26.74,81,41,6.69,PF,1680378054
19,mataura,-46.1927,168.8643,13.04,98,100,2.1,NZ,1680378369
20,port alfred,-33.5906,26.891,20.1,88,27,0.45,ZA,1680378079
21,hami,42.8,93.45,0.73,24,100,6.63,CN,1680378171
22,lasa,46.6166,10.7002,8.49,88,100,2.05,IT,1680378107
23,tiksi,71.6872,128.8694,-18.22,81,93,10.92,RU,1680378114
24,kendari,-3.945,122.4989,23.92,94,100,1.59,ID,1680378393
25,lebu,-37.6167,-73.65,16.77,79,98,4.53,CL,1680378121
26,tarrafal,15.2833,-23.7667,31.44,65,0,5.15,CV,1680378393
27,maroantsetra,-15.4333,49.7333,25.31,86,93,1.88,MG,1680378393
28,nome,64.5011,-165.4064,-1.58,100,100,6.69,US,1680378160
29,henties bay,-22.116,14.2845,16.14,89,5,3.39,NA,1680378125
30,nanortalik,60.1432,-45.2371,-1.63,77,16,2.46,GL,1680378171
31,sanandaj,35.3144,46.9923,1.01,55,20,2.06,IR,1680378393
32,touros,-5.1989,-35.4608,27.13,76,100,5.65,BR,1680378127
33,sao felix do xingu,-6.6447,-51.995,27.59,76,80,0.61,BR,1680378394
34,tacuati,-23.45,-56.5833,30.95,56,51,1.5,PY,1680378394
35,albany,42.6001,-73.9662,22.54,33,0,0.45,US,1680378055
36,airai,-8.9266,125.4092,15.38,95,100,0.8,TL,1680378095
37,provideniya,64.3833,-173.3,-6.87,95,97,4.34,RU,1680378080
38,sao joao da barra,-21.6403,-41.0511,31.05,83,75,3.6,BR,1680377885
39,chuy,-33.6971,-53.4616,20.22,55,15,4.74,UY,1680378135
40,bonavista,48.6499,-53.1147,0.8,81,51,1.6,CA,1680378142
41,kapaa,22.0752,-159.319,22.18,86,100,2.57,US,1680378094
42,yellowknife,62.456,-114.3525,-12.71,66,100,10.29,CA,1680377934
43,quatre cocos,-20.2078,57.7625,26.16,75,10,4.11,MU,1680378177
44,okha,53.5739,142.9478,-3.64,93,21,3.38,RU,1680378395
45,timiryazevskiy,56.49,84.8769,-6.75,58,95,1.72,RU,1680378395
46,hithadhoo,-0.6,73.0833,27.8,71,100,2.22,MV,1680378096
47,diamantino,-14.4086,-56.4461,30.03,63,50,1.35,BR,1680378395
48,maler kotla,30.5167,75.8833,15.45,95,5,2.88,IN,1680378395
49,chokurdakh,70.6333,147.9167,-34.2,100,98,3.12,RU,1680378084
50,la tuque,47.4334,-72.7824,0.14,100,100,2.06,CA,1680378396
51,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1680378001
52,busselton,-33.65,115.3333,14.38,90,1,3.49,AU,1680378080
53,tuatapere,-46.1333,167.6833,10.5,87,100,5.77,NZ,1680378107
54,tooele,40.5308,-112.2983,12.21,46,100,6.71,US,1680378396
55,santa cruz,-17.8,-63.1667,30.7,51,20,5.14,BO,1680378396
56,thompson,55.7435,-97.8558,-7.91,38,40,3.09,CA,1680378077
57,tasiilaq,65.6145,-37.6368,-0.91,85,100,1.62,GL,1680378103
58,fonte boa,-2.4959,-66.2662,25.27,96,100,0.91,BR,1680378396
59,sorata,-15.7667,-68.6333,10.32,82,97,3.61,BO,1680378397
60,east london,-33.0153,27.9116,21.8,81,97,5.2,ZA,1680378120
61,teya,60.3778,92.6267,-19.09,100,65,2.0,RU,1680378397
62,carnarvon,-24.8667,113.6333,24.04,77,76,5.46,AU,1680378146
63,severo-kurilsk,50.6789,156.125,-0.04,94,28,7.0,RU,1680377938
64,flinders,-34.5833,150.8552,15.66,89,96,0.89,AU,1680378128
65,port blair,11.6667,92.75,25.95,75,13,1.72,IN,1680378155
66,san quintin,30.4833,-115.95,16.55,64,0,6.54,MX,1680378100
67,hobart,-42.8794,147.3294,12.37,80,100,4.12,AU,1680378081
68,naze,28.3667,129.4833,17.51,88,16,6.73,JP,1680378083
69,nyurba,63.2842,118.3319,-25.3,99,64,2.61,RU,1680378193
70,nizhniy ingash,56.2,96.53,-17.19,99,57,1.13,RU,1680378397
71,izumo,35.3667,132.7667,11.97,80,100,4.37,JP,1680378397
72,sao filipe,14.8961,-24.4956,26.59,57,0,1.9,CV,1680378110
73,tougan,13.0667,-3.0667,31.08,7,63,4.12,BF,1680378397
74,lima,-12.0432,-77.0282,26.14,69,0,5.66,PE,1680377914
75,sibolga,1.7427,98.7792,24.01,92,100,1.66,ID,1680378194
76,atuona,-9.8,-139.0333,26.84,78,19,6.75,PF,1680378398
77,puerto ayora,-0.7393,-90.3518,30.98,85,83,3.13,EC,1680378085
78,adrar,20.5022,-10.0711,28.28,6,0,4.09,MR,1680378106
79,atambua,-9.1061,124.8925,22.45,89,100,1.37,ID,1680378398
80,high level,58.5169,-117.136,-3.94,80,75,2.57,CA,1680378186
81,tabou,4.423,-7.3528,26.47,85,33,2.69,CI,1680378398
82,udachnyy,66.4167,112.4,-13.64,50,100,5.81,RU,1680378257
83,bardiyah,31.7561,25.0865,19.19,38,3,3.11,LY,1680378399
84,cape town,-33.9258,18.4232,18.84,82,0,6.69,ZA,1680377973
85,lethem,3.3803,-59.7968,36.03,30,14,7.48,GY,1680378399
86,fuerte olimpo,-21.0415,-57.8738,34.45,35,0,3.19,PY,1680378399
87,maseru,-29.3167,27.4833,15.0,56,26,1.66,LS,1680378399
88,saint-pierre,-21.3393,55.4781,25.82,83,20,1.54,RE,1680378152
89,pevek,69.7008,170.3133,-23.61,96,100,5.38,RU,1680378117
90,qaanaaq,77.484,-69.3632,-23.32,74,7,1.5,GL,1680378094
91,san patricio,28.017,-97.5169,31.2,52,98,5.77,US,1680378161
92,katsuura,35.1333,140.3,14.01,76,100,6.0,JP,1680378073
93,guerrero negro,27.9769,-114.0611,19.54,47,0,7.42,MX,1680378175
94,mbandaka,0.0487,18.2603,24.22,77,53,1.44,CD,1680378399
95,srednekolymsk,67.45,153.6833,-25.62,99,100,2.9,RU,1680378095
96,umm lajj,25.0213,37.2685,21.14,54,0,5.49,SA,1680378400
97,encruzilhada do sul,-30.5439,-52.5219,21.07,40,0,3.71,BR,1680378400
98,ust-nera,64.5667,143.2,-13.44,98,100,2.14,RU,1680378400
99,makat,47.6469,53.3463,12.98,20,72,8.0,KZ,1680378400
100,kodiak,57.79,-152.4072,2.73,44,0,11.83,US,1680378161
101,hasaki,35.7333,140.8333,13.45,55,79,5.73,JP,1680378117
102,vaini,-21.2,-175.2,25.09,88,20,2.57,TO,1680378076
103,yulara,-25.2406,130.9889,14.88,79,20,3.08,AU,1680378100
104,upernavik,72.7868,-56.1549,-26.87,96,39,4.97,GL,1680378106
105,caldwell,43.6629,-116.6874,8.93,85,100,11.83,US,1680378401
106,la reforma,25.0833,-108.05,30.0,31,100,6.95,MX,1680378401
107,saint-philippe,-21.3585,55.7679,25.77,82,45,5.25,RE,1680378111
108,inhambane,-23.865,35.3833,23.03,86,6,2.57,MZ,1680378401
109,darhan,49.4867,105.9228,-8.62,63,100,9.06,MN,1680378401
110,ponta do sol,32.6667,-17.1,22.06,67,1,3.81,PT,1680378143
111,port elizabeth,-33.918,25.5701,20.16,89,0,4.63,ZA,1680378097
112,barrow,71.2906,-156.7887,-16.99,100,100,2.06,US,1680378075
113,mahebourg,-20.4081,57.7,26.25,83,20,3.09,MU,1680378147
114,rangapara,26.8167,92.65,17.94,90,99,2.26,IN,1680378401
115,avarua,-21.2078,-159.775,27.03,83,40,4.12,CK,1680378401
116,mount hagen,-5.8581,144.2274,14.03,97,58,0.83,PG,1680378401
117,omsukchan,62.5333,155.8,-12.0,97,99,0.69,RU,1680378195
118,clyde river,70.4692,-68.5914,-21.87,77,20,5.66,CA,1680378033
119,port saint lucie,27.2939,-80.3503,32.99,51,40,5.66,US,1680378402
120,richards bay,-28.783,32.0377,21.18,91,3,1.68,ZA,1680378402
121,krasnoselkup,65.7,82.4667,0.03,95,100,11.22,RU,1680378402
122,rincon,32.296,-81.2354,27.98,47,100,8.23,US,1680378402
123,miranda,3.2499,-76.2281,31.07,65,83,0.68,CO,1680378403
124,bengkulu,-3.8004,102.2655,23.31,89,100,1.82,ID,1680377857
125,cidreira,-30.1811,-50.2056,21.73,61,89,6.23,BR,1680378075
126,palmer,42.1584,-72.3287,18.41,80,100,3.58,US,1680378136
127,atar,20.5169,-13.0499,31.89,6,0,3.97,MR,1680378403
128,bredasdorp,-34.5322,20.0403,16.71,95,0,2.32,ZA,1680378084
129,namatanai,-3.6667,152.4333,25.43,79,100,1.19,PG,1680378165
130,bambous virieux,-20.3428,57.7575,26.23,83,20,3.09,MU,1680378403
131,pacific grove,36.6177,-121.9166,17.9,58,0,3.6,US,1680377977
132,victoria,22.2855,114.1577,22.03,91,99,4.92,HK,1680377894
133,port macquarie,-31.4333,152.9167,15.97,90,31,4.07,AU,1680378404
134,kamaishi,39.2667,141.8833,5.09,82,28,3.2,JP,1680378404
135,kamenka,51.3223,42.7678,4.83,77,10,2.57,RU,1680378404
136,harker heights,31.0835,-97.6597,26.8,23,0,2.57,US,1680378183
137,madingou,-4.1536,13.55,23.54,94,100,1.61,CG,1680378404
138,sinnamary,5.3833,-52.95,26.88,72,87,5.07,GF,1680378190
139,bairiki,1.3292,172.9752,24.0,94,75,6.17,KI,1680378405
140,merritt island,28.5392,-80.672,32.23,48,20,5.14,US,1680378108
141,tuy hoa,13.0833,109.3,21.92,90,79,1.6,VN,1680378190
142,ghanzi,-21.5667,21.7833,25.06,41,86,3.49,BW,1680378405
143,cap malheureux,-19.9842,57.6142,26.37,74,7,2.24,MU,1680378405
144,bethel,41.3712,-73.414,22.79,70,75,3.09,US,1680378089
145,torbay,47.6666,-52.7314,5.42,50,40,8.23,CA,1680378127
146,aykhal,66.0,111.5,-15.84,93,100,9.38,RU,1680378170
147,pacifica,37.6138,-122.4869,17.91,64,20,4.12,US,1680378239
148,port hardy,50.6996,-127.4199,6.0,93,75,2.06,CA,1680378162
149,isabela,6.7085,121.9711,25.84,84,100,1.86,PH,1680378406
150,eenhana,-17.4667,16.3333,22.81,64,99,2.27,NA,1680378406
151,ahipara,-35.1667,173.1667,17.91,92,100,0.45,NZ,1680378084
152,dikson,73.5069,80.5464,-11.95,98,100,3.38,RU,1680378078
153,khandyga,62.6667,135.6,-15.48,95,100,2.65,RU,1680378186
154,ilulissat,69.2167,-51.1,-11.99,72,20,2.57,GL,1680378148
155,khatanga,71.9667,102.5,-7.0,93,100,9.31,RU,1680378086
156,xihua,33.7833,114.5167,12.22,82,53,4.64,CN,1680378406
157,bronnoysund,65.4625,12.1997,0.0,64,32,3.13,NO,1680378166
158,ouallam,14.3188,2.0866,30.66,9,61,4.3,NE,1680378406
159,vestmanna,62.1564,-7.1664,5.51,93,100,5.14,FO,1680378407
160,machali,-34.1833,-70.6667,28.6,20,0,6.17,CL,1680378407
161,paramonga,-10.6667,-77.8333,25.71,77,100,3.49,PE,1680378407
162,porto novo,6.4965,2.6036,28.9,77,100,3.27,BJ,1680378407
163,salalah,17.0151,54.0924,28.05,83,75,4.12,OM,1680378407
164,champerico,14.3,-91.9167,35.3,60,99,5.99,GT,1680378158
165,mercedes,-34.6515,-59.4307,23.69,22,9,3.69,AR,1680378407
166,eirunepe,-6.6603,-69.8736,25.36,91,100,1.44,BR,1680378407
167,tarakan,3.3,117.6333,26.21,81,100,2.92,ID,1680378172
168,hamilton,39.1834,-84.5333,7.71,63,100,13.89,US,1680378030
169,seoul,37.5683,126.9778,9.78,72,20,1.03,KR,1680378408
170,inuvik,68.3499,-133.7218,-15.52,55,20,2.57,CA,1680378408
171,kruisfontein,-34.0033,24.7314,15.42,69,1,2.53,ZA,1680378099
172,formosa,-26.1775,-58.1781,28.99,54,0,2.57,AR,1680378188
173,catalao,-18.1658,-47.9464,25.24,69,93,2.33,BR,1680378408
174,castro,-24.7911,-50.0119,23.8,72,61,1.01,BR,1680378077
175,mount gambier,-37.8333,140.7667,7.96,88,18,0.59,AU,1680378188
176,mukhen,48.1,136.1,2.06,71,8,1.99,RU,1680378409
177,glendive,47.1053,-104.7125,9.79,53,0,5.66,US,1680378409
178,anadyr,64.75,177.4833,-15.72,84,0,12.0,RU,1680377837
179,pimenta bueno,-11.6725,-61.1936,29.5,72,96,2.18,BR,1680378409
180,nikolskoye,59.7035,30.7861,0.94,96,100,2.46,RU,1680378121
181,oussouye,12.485,-16.5469,24.89,68,32,4.29,SN,1680378410
182,macduff,57.6701,-2.4969,5.31,85,100,4.71,GB,1680378410
183,moron,-34.6534,-58.6198,23.86,62,14,3.1,AR,1680378410
184,raudeberg,61.9875,5.1352,3.37,75,38,1.52,NO,1680378154
185,zaysan,47.4667,84.8667,-5.14,49,15,3.71,KZ,1680378410
186,ancud,-41.8697,-73.8203,13.7,79,67,3.25,CL,1680378166
187,huaraz,-9.5333,-77.5333,13.67,78,100,2.05,PE,1680378410
188,deputatskiy,69.3,139.9,-32.98,100,51,2.63,RU,1680378198
189,ishim,56.1128,69.4902,-1.33,73,29,5.97,RU,1680378411
190,nandaime,11.757,-86.0529,33.48,31,100,7.03,NI,1680378411
191,marsh harbour,26.5412,-77.0636,24.9,75,28,6.59,BS,1680378105
192,lavrentiya,65.5833,-171.0,-3.95,95,100,2.93,RU,1680378176
193,lufilufi,-13.8745,-171.5986,25.88,73,100,2.27,WS,1680378411
194,faanui,-16.4833,-151.75,27.93,72,1,3.29,PF,1680378081
195,patur,20.45,76.9333,26.72,30,21,2.13,IN,1680378411
196,tiznit,29.5833,-9.5,23.05,33,0,0.71,MA,1680378411
197,den helder,52.9599,4.7593,7.79,88,100,11.32,NL,1680378213
198,cockeysville,39.4812,-76.6439,25.53,50,6,2.24,US,1680378411
199,abu kamal,34.4506,40.9171,14.7,38,5,2.42,SY,1680378412
200,vao,-22.6667,167.4833,25.66,82,31,5.0,NC,1680378170
201,ayr,55.4627,-4.6339,7.99,76,75,2.57,GB,1680378412
202,kaspiyskiy,45.3929,47.3707,5.05,89,100,9.51,RU,1680378412
203,tambopata,-12.7333,-69.1833,26.94,83,75,3.09,PE,1680378412
204,sulat,11.8103,125.4544,24.58,90,45,2.35,PH,1680378413
205,todos santos,23.45,-110.2167,25.25,60,100,3.57,MX,1680378413
206,port lincoln,-34.7333,135.8667,14.12,66,20,4.7,AU,1680378079
207,solnechnyy,50.7214,136.6319,-1.79,86,49,1.91,RU,1680378413
208,fortuna,40.5982,-124.1573,11.63,91,100,0.45,US,1680378115
209,vila velha,-20.3297,-40.2925,27.97,78,40,1.03,BR,1680378154
210,pemangkat,1.1667,108.9667,25.39,83,74,1.58,ID,1680378413
211,baoning,25.3378,110.026,18.92,100,75,2.0,CN,1680378413
212,cabo san lucas,22.8909,-109.9124,31.61,55,40,3.09,MX,1680378117
213,batticaloa,7.7102,81.6924,25.69,85,2,2.92,LK,1680378126
214,shadrinsk,56.0852,63.6335,0.76,77,49,5.05,RU,1680378413
215,ayagoz,47.9714,80.4392,-10.03,69,0,6.43,KZ,1680378413
216,mackay,-21.15,149.2,24.27,92,62,1.83,AU,1680377855
217,morondava,-20.2833,44.2833,26.74,82,97,3.31,MG,1680378414
218,san buenaventura,27.0833,-101.5333,24.44,33,100,3.62,MX,1680378414
219,carthage,36.8611,10.3316,16.74,55,40,4.12,TN,1680378414
220,loiza,18.4313,-65.8802,29.89,63,20,8.75,PR,1680378415
221,westport,41.1415,-73.3579,22.01,81,75,7.2,US,1680378229
222,urusha,54.05,122.9,-6.63,74,100,3.67,RU,1680378169
223,kununurra,-15.7667,128.7333,24.99,88,5,1.54,AU,1680378110
224,monrovia,6.3005,-10.7969,27.87,83,57,2.57,LR,1680378415
225,safranbolu,41.2508,32.6942,10.73,72,96,1.07,TR,1680378415
226,pamyat parizhskoy kommuny,56.1048,44.4952,3.97,87,100,2.96,RU,1680378415
227,puerto plata,19.7934,-70.6884,33.95,65,20,8.75,DO,1680378416
228,kaseda,31.4167,130.3167,15.94,77,100,4.05,JP,1680378416
229,saint-gabriel,46.3001,-73.3824,1.34,100,100,1.5,CA,1680378416
230,meiganga,6.5167,14.3,23.77,54,66,1.72,CM,1680378416
231,hermiston,45.8404,-119.2895,13.49,45,20,10.8,US,1680378397
232,luderitz,-26.6481,15.1594,16.45,90,11,2.11,NA,1680378119
233,yerbogachen,61.2767,108.0108,-26.8,100,19,1.72,RU,1680378189
234,ola,59.5833,151.2833,-3.25,97,97,2.09,RU,1680378417
235,klaksvik,62.2266,-6.589,6.51,90,98,8.86,FO,1680378097
236,saldanha,-33.0117,17.9442,17.03,86,0,5.24,ZA,1680378130
237,santa fe,-31.6333,-60.7,26.12,40,0,4.02,AR,1680378415
238,broome,42.2506,-75.833,21.68,37,2,5.36,US,1680378167
239,mwinilunga,-11.7358,24.4293,16.7,98,100,1.49,ZM,1680378417
240,lac du bonnet,50.2536,-96.0612,2.45,58,65,4.08,CA,1680378135
241,sorong,-0.8833,131.25,26.32,81,100,1.65,ID,1680378165
242,khani,41.9563,42.9566,-0.24,73,85,2.08,GE,1680378417
243,langenburg,49.2544,9.8458,8.76,84,100,7.72,DE,1680378418
244,sembakung,3.8167,117.25,22.88,99,100,0.98,ID,1680378418
245,geraldton,-28.7667,114.6,18.23,94,40,1.03,AU,1680378198
246,dutlwe,-23.9833,23.9,25.0,36,61,1.63,BW,1680378418
247,kallaste,58.655,27.1592,0.13,95,82,5.32,EE,1680378418
248,kaspiysk,42.8816,47.6392,7.1,75,75,8.05,RU,1680378410
249,chapais,49.7834,-74.8492,-3.12,89,100,6.12,CA,1680378169
250,dali,25.7,100.1833,10.28,84,73,2.43,CN,1680378200
251,san luis,-33.295,-66.3356,24.16,43,100,4.85,AR,1680378316
252,klichka,50.4457,117.996,-1.71,76,81,2.33,RU,1680378419
253,lompoc,34.6391,-120.4579,20.38,64,0,9.39,US,1680378159
254,mormugao,15.4,73.8,25.59,61,91,4.12,IN,1680378419
255,benguela,-12.5763,13.4055,25.83,80,39,0.44,AO,1680378419
256,mitsamiouli,-11.3847,43.2844,27.89,77,79,4.22,KM,1680378419
257,hohhot,40.8106,111.6522,13.16,54,20,3.0,CN,1680378419
258,leningradskiy,69.3833,178.4167,-16.07,92,100,12.51,RU,1680378132
259,nampula,-15.1165,39.2666,23.97,83,75,3.6,MZ,1680378419
260,malanje,-9.5402,16.341,17.38,94,87,1.46,AO,1680378419
261,bubaque,11.2833,-15.8333,25.32,75,0,8.38,GW,1680378126
262,naryan-mar,67.6713,53.087,-13.46,98,93,3.19,RU,1680378148
263,somerset east,-32.7217,25.588,14.96,87,6,1.49,ZA,1680378420
264,mount isa,-20.7333,139.5,23.87,35,75,3.6,AU,1680378363
265,kamphaeng phet,16.25,99.5,26.6,53,100,0.72,TH,1680378420
266,hokitika,-42.7167,170.9667,14.91,87,12,3.88,NZ,1680378420
267,lagoa,39.05,-27.9833,15.9,88,100,10.64,PT,1680377989
268,chimbote,-9.0853,-78.5783,26.6,73,100,4.32,PE,1680378420
269,ingham,42.6,-84.3833,4.24,81,100,6.17,US,1680378129
270,ostrovnoy,68.0531,39.5131,-7.21,86,81,3.66,RU,1680378163
271,mehriz,31.5917,54.4318,12.28,21,0,2.71,IR,1680378420
272,laguna,38.421,-121.4238,17.95,54,53,2.68,US,1680378414
273,mafinga,-7.25,35.0667,18.34,92,17,1.84,TZ,1680378421
274,kutum,14.2,24.6667,21.07,11,11,4.25,SD,1680378416
275,nouadhibou,20.931,-17.0347,32.99,19,0,6.17,MR,1680378239
276,narsaq,60.9167,-46.05,1.12,77,81,0.98,GL,1680378125
277,plettenberg bay,-34.0527,23.3716,16.97,76,0,1.14,ZA,1680378421
278,marquette,46.5333,-87.6335,-0.97,76,11,5.36,US,1680378421
279,sitka,57.0531,-135.33,3.94,81,40,3.09,US,1680378107
280,mundybash,53.211,87.2983,-12.5,87,14,1.52,RU,1680378421
281,sechura,-5.5569,-80.8222,30.96,56,79,5.46,PE,1680378421
282,jalingo,8.8833,11.3667,30.33,14,27,0.06,NG,1680378089
283,dunedin,-45.8742,170.5036,12.87,84,30,5.48,NZ,1680378321
284,paamiut,61.994,-49.6678,-3.38,68,100,5.17,GL,1680378422
285,madoc,44.5084,-77.4745,13.86,74,35,5.0,CA,1680378422
286,namibe,-15.1961,12.1522,24.59,81,97,2.62,AO,1680378200
